"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","PISAREAD","BOY","MEANSCORE","A","2015",491,
"NLD","PISAREAD","GIRL","MEANSCORE","A","2015",515,
"NZL","PISAREAD","BOY","MEANSCORE","A","2015",493,
"NZL","PISAREAD","GIRL","MEANSCORE","A","2015",526,
"NOR","PISAREAD","BOY","MEANSCORE","A","2015",494,
"NOR","PISAREAD","GIRL","MEANSCORE","A","2015",533,
"POL","PISAREAD","BOY","MEANSCORE","A","2015",491,
"POL","PISAREAD","GIRL","MEANSCORE","A","2015",521,
"PRT","PISAREAD","BOY","MEANSCORE","A","2015",490,
"PRT","PISAREAD","GIRL","MEANSCORE","A","2015",507,
"SVK","PISAREAD","BOY","MEANSCORE","A","2015",435,
"SVK","PISAREAD","GIRL","MEANSCORE","A","2015",471,
"ESP","PISAREAD","BOY","MEANSCORE","A","2015",485,
"ESP","PISAREAD","GIRL","MEANSCORE","A","2015",506,
"SWE","PISAREAD","BOY","MEANSCORE","A","2015",481,
"SWE","PISAREAD","GIRL","MEANSCORE","A","2015",520,
"CHE","PISAREAD","BOY","MEANSCORE","A","2015",480,
"CHE","PISAREAD","GIRL","MEANSCORE","A","2015",505,
"TUR","PISAREAD","BOY","MEANSCORE","A","2015",414,
"TUR","PISAREAD","GIRL","MEANSCORE","A","2015",442,
"GBR","PISAREAD","BOY","MEANSCORE","A","2015",487,
"GBR","PISAREAD","GIRL","MEANSCORE","A","2015",509,
"USA","PISAREAD","BOY","MEANSCORE","A","2015",487,
"USA","PISAREAD","GIRL","MEANSCORE","A","2015",507,
"BRA","PISAREAD","BOY","MEANSCORE","A","2015",395,
"BRA","PISAREAD","GIRL","MEANSCORE","A","2015",419,
"CHL","PISAREAD","BOY","MEANSCORE","A","2015",453,
"CHL","PISAREAD","GIRL","MEANSCORE","A","2015",465,
"EST","PISAREAD","BOY","MEANSCORE","A","2015",505,
"EST","PISAREAD","GIRL","MEANSCORE","A","2015",533,
"IDN","PISAREAD","BOY","MEANSCORE","A","2015",386,
"IDN","PISAREAD","GIRL","MEANSCORE","A","2015",409,
"ISR","PISAREAD","BOY","MEANSCORE","A","2015",467,
"ISR","PISAREAD","GIRL","MEANSCORE","A","2015",490,
"RUS","PISAREAD","BOY","MEANSCORE","A","2015",481,
"RUS","PISAREAD","GIRL","MEANSCORE","A","2015",507,
"SVN","PISAREAD","BOY","MEANSCORE","A","2015",484,
"SVN","PISAREAD","GIRL","MEANSCORE","A","2015",528,
"OAVG","PISAREAD","BOY","MEANSCORE","A","2015",479,
"OAVG","PISAREAD","GIRL","MEANSCORE","A","2015",506,
"LVA","PISAREAD","BOY","MEANSCORE","A","2015",467,
"LVA","PISAREAD","GIRL","MEANSCORE","A","2015",509,
"SGP","PISAREAD","BOY","MEANSCORE","A","2015",525,
"SGP","PISAREAD","GIRL","MEANSCORE","A","2015",546,
"COL","PISAREAD","BOY","MEANSCORE","A","2015",417,
"COL","PISAREAD","GIRL","MEANSCORE","A","2015",432,
"HKG","PISAREAD","BOY","MEANSCORE","A","2015",513,
"HKG","PISAREAD","GIRL","MEANSCORE","A","2015",541,
"PER","PISAREAD","BOY","MEANSCORE","A","2015",394,
"PER","PISAREAD","GIRL","MEANSCORE","A","2015",401,
"TWN","PISAREAD","BOY","MEANSCORE","A","2015",485,
"TWN","PISAREAD","GIRL","MEANSCORE","A","2015",510,
"MAC","PISAREAD","BOY","MEANSCORE","A","2015",493,
"MAC","PISAREAD","GIRL","MEANSCORE","A","2015",525,
