"COUNTRY","Country","ISC11_LEVEL_CAT","Education level and programe orientation","INDICATOR","Indicator","EXPENDITURE_TYPE","Type of expenditure","REF_SECTOR","Source of funds","COUNTERPART_SECTOR","Institution type","YEAR","Year","Value","Flag Codes","Flags"
"GRC","Greece","L2_C4","Lower secondary general education  (ISCED2011 level 4 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"DNK","Denmark","L2","Lower secondary education (ISCED2011 level 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"M","Missing value; data cannot exist"
"DNK","Denmark","L2","Lower secondary education (ISCED2011 level 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"GRC","Greece","L1T4","Primary, secondary education and post-secondary non-tertiary education","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",23.268,,
"GRC","Greece","L1T4","Primary, secondary education and post-secondary non-tertiary education","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"RUS","Russia","L2_C5","Lower secondary vocational education (ISCED2011 level 2 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"z","Not applicable"
"RUS","Russia","L2_C5","Lower secondary vocational education (ISCED2011 level 2 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"HUN","Hungary","L1T4","Primary, secondary education and post-secondary non-tertiary education","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",22.408,,
"HUN","Hungary","L1T4","Primary, secondary education and post-secondary non-tertiary education","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"GBR","United Kingdom","L3_C4","Upper secondary general education (ISCED2011 level 3 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",27.933,,
"GBR","United Kingdom","L3_C4","Upper secondary general education (ISCED2011 level 3 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"PRT","Portugal","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",25.358,"w","Includes data from another category"
"PRT","Portugal","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"SWE","Sweden","L1","Primary education (ISCED2011 level 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",22.542,,
"SWE","Sweden","L1","Primary education (ISCED2011 level 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"HUN","Hungary","L2_C4","Lower secondary general education  (ISCED2011 level 4 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",17.722,,
"HUN","Hungary","L2_C4","Lower secondary general education  (ISCED2011 level 4 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"NLD","Netherlands","L3_C4","Upper secondary general education (ISCED2011 level 3 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",20.807,,
"NLD","Netherlands","L3_C4","Upper secondary general education (ISCED2011 level 3 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"ISR","Israel","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",42.484,"w","Includes data from another category"
"ISR","Israel","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"BEL","Belgium","L0_C1","Early childhood educational development (ISCED2011 level 0 programme 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"M","Missing value; data cannot exist"
"BEL","Belgium","L0_C1","Early childhood educational development (ISCED2011 level 0 programme 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"CHL","Chile","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",28.338,,
"CHL","Chile","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",35.327,,
"AUS","Australia","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",19.688,,
"AUS","Australia","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"BRA","Brazil","L0_C1","Early childhood educational development (ISCED2011 level 0 programme 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"x","Data included in another category"
"BRA","Brazil","L0_C1","Early childhood educational development (ISCED2011 level 0 programme 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"MEX","Mexico","L1T4","Primary, secondary education and post-secondary non-tertiary education","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"M","Missing value; data cannot exist"
"MEX","Mexico","L1T4","Primary, secondary education and post-secondary non-tertiary education","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"LVA","Latvia","L0","Early childhood education  (ISCED2011 level 0)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",21.772,,
"LVA","Latvia","L0","Early childhood education  (ISCED2011 level 0)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"AUS","Australia","L0_C2","Pre-primary education (ISCED2011 level 0 programme 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",14.956,,
"AUS","Australia","L0_C2","Pre-primary education (ISCED2011 level 0 programme 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"JPN","Japan","L2","Lower secondary education (ISCED2011 level 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",25.928,,
"JPN","Japan","L2","Lower secondary education (ISCED2011 level 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"GBR","United Kingdom","L1","Primary education (ISCED2011 level 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",27.86,,
"GBR","United Kingdom","L1","Primary education (ISCED2011 level 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"CHE","Switzerland","L1","Primary education (ISCED2011 level 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"M","Missing value; data cannot exist"
"CHE","Switzerland","L1","Primary education (ISCED2011 level 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"JPN","Japan","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"x","Data included in another category"
"JPN","Japan","L4","Post-secondary non-tertiary education  (ISCED2011 level 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"EST","Estonia","L2_C4","Lower secondary general education  (ISCED2011 level 4 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",22.895,,
"EST","Estonia","L2_C4","Lower secondary general education  (ISCED2011 level 4 programme 4)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"RUS","Russia","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",30.454,,
"RUS","Russia","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"TUR","Turkey","L0_C1","Early childhood educational development (ISCED2011 level 0 programme 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"x","Data included in another category"
"TUR","Turkey","L0_C1","Early childhood educational development (ISCED2011 level 0 programme 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"MEX","Mexico","L0_C1","Early childhood educational development (ISCED2011 level 0 programme 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"x","Data included in another category"
"MEX","Mexico","L0_C1","Early childhood educational development (ISCED2011 level 0 programme 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"LVA","Latvia","L1T8","ISCED2011 levels 1 to 8","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",29.283,,
"LVA","Latvia","L1T8","ISCED2011 levels 1 to 8","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"ESP","Spain","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",29.897,"w","Includes data from another category"
"ESP","Spain","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"BRA","Brazil","L1T4","Primary, secondary education and post-secondary non-tertiary education","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"x","Data included in another category"
"BRA","Brazil","L1T4","Primary, secondary education and post-secondary non-tertiary education","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"IRL","Ireland","L1T8","ISCED2011 levels 1 to 8","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",12.841,,
"IRL","Ireland","L1T8","ISCED2011 levels 1 to 8","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"MEX","Mexico","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"M","Missing value; data cannot exist"
"MEX","Mexico","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"LTU","Lithuania","L1","Primary education (ISCED2011 level 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",19.217,,
"LTU","Lithuania","L1","Primary education (ISCED2011 level 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"ITA","Italy","L0_C2","Pre-primary education (ISCED2011 level 0 programme 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",17.074,,
"ITA","Italy","L0_C2","Pre-primary education (ISCED2011 level 0 programme 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"CHE","Switzerland","L2_C5","Lower secondary vocational education (ISCED2011 level 2 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"z","Not applicable"
"CHE","Switzerland","L2_C5","Lower secondary vocational education (ISCED2011 level 2 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"DEU","Germany","L2","Lower secondary education (ISCED2011 level 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",22.205,,
"DEU","Germany","L2","Lower secondary education (ISCED2011 level 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"BRA","Brazil","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"x","Data included in another category"
"BRA","Brazil","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"AUT","Austria","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",26.162,,
"AUT","Austria","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"LVA","Latvia","L0_C2","Pre-primary education (ISCED2011 level 0 programme 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",21.772,,
"LVA","Latvia","L0_C2","Pre-primary education (ISCED2011 level 0 programme 2)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"CAN","Canada","L1T4","Primary, secondary education and post-secondary non-tertiary education","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"x","Data included in another category"
"CAN","Canada","L1T4","Primary, secondary education and post-secondary non-tertiary education","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"CHL","Chile","L2_C5","Lower secondary vocational education (ISCED2011 level 2 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",,"z","Not applicable"
"CHL","Chile","L2_C5","Lower secondary vocational education (ISCED2011 level 2 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"z","Not applicable"
"ISL","Iceland","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",31.077,,
"ISL","Iceland","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"SVN","Slovenia","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",25.653,,
"SVN","Slovenia","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"FRA","France","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",36.882,,
"FRA","France","L3_C5","Upper secondary vocational education (ISCED2011 level 3 programme 5)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2016","2016",,"M","Missing value; data cannot exist"
"ESP","Spain","L1","Primary education (ISCED2011 level 1)","FIN_PERSTUD_GDPCAPITA","Expenditure per student as share of GDP per capita","EXC_RD_OECD","All services excluding R&D OECD","T","Total","INST_T","All public and private educational institutions","2015","2015",21.027,,
